OhayoRoh,joe_signa,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,-0.3,0.5,-0.3,1.0,-0.3,-0.3,-0.3,-0.3,1.0,0.5,-0.3,-0.3,-0.3,1.0,0.5,-0.3,-0.3,0.5,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.4083189157584592
OhayoRoh,jeansblkgf,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,-0.3,-0.3,-0.3,0.5,0.5,-0.3,-0.3,-0.3,1.0,0.5,0.5,-0.3,-0.3,1.0,-0.3,1.0,0.5,0.5,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.5099800796022267
OhayoRoh,Margs87,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.5199206336708304
OhayoRoh,GamesZangief,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,-0.3,0.5,-0.3,1.0,-0.3,-0.3,0.5,0.5,-0.3,0.5,-0.3,-0.3,0.5,0.5,-0.3,1.0,1.0,0.5,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.5377155080899043
OhayoRoh,nowthethingis,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,0.5,-0.3,-0.3,0.5,-0.3,-0.3,-0.3,-0.3,0.5,1.0,0.5,-0.3,0.5,-0.3,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.5377155080899043
OhayoRoh,TiffanyAnn12,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.5,-0.3,0.5,0.5,1.0,-0.3,0.5,-0.3,-0.3,1.0,1.0,0.5,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.5416530054277673
OhayoRoh,CameronPhare,"[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,1.0,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]","[-0.3,-0.3,0.5,-0.3,-0.3,-0.3,-0.3,0.5,-0.3,1.0,0.5,-0.3,0.5,-0.3,1.0,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]",2.569046515733026
OhhV3,_hugooramirez,"[-0.3,-0.3,-0.3,-0.3,0.5,-0.3,1.0,0.5,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,1.0,-0.3,0.5,1.0,1.0,1.0,1.0,1.0,1.0]",2.1840329667841556
OhhV3,SecretAngelz,"[-0.3,-0.3,-0.3,-0.3,0.5,-0.3,1.0,0.5,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.3,-0.3,-0.3,0.5,0.5,-0.3,0.5,0.5,0.5,-0.3,-0.3,1.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,-0.3,-0.3,0.5,1.0,1.0,-0.3,1.0,1.0,1.0,1.0,1.0]",2.3259406699226015
OhhV3,legitnatpru,"[-0.3,-0.3,-0.3,-0.3,0.5,-0.3,1.0,0.5,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.3,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,0.5,-0.3,1.0,-0.3,1.0,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,0.5,0.5,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",2.3558437978779496
OhhV3,citrinepoppy,"[-0.3,-0.3,-0.3,-0.3,0.5,-0.3,1.0,0.5,-0.3,-0.3,-0.3,0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.5,-0.3,0.5,0.5,-0.3,-0.3,0.5,0.5,0.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",2.4041630560342617
